ISIN코드,기업명,배당기준일,1주당배당금,종가,매수주식수,총배당금,투자금대비배당률(%)
KR7204210009,스타에스엠자기관리부동산투자회사,2022-12-31,1572.0,3715.0,2691,4230252.0,42.30252
KR7168490001,한국투자패러랠유전해외자원개발특별자산투자회사1호지분증권,2023-09-30,576.0,1475.0,6779,3904704.0,39.04704
KR7046110003,한일네트웍스,2023-12-31,3152.0,12000.0,833,2625616.0,26.25616
KR7003120003,일성아이에스,2022-12-31,20000.0,84400.0,118,2360000.0,23.6
KR7168490001,한국투자패러랠유전해외자원개발특별자산투자회사1호지분증권,2024-09-30,46.0,201.0,49751,2288546.0,22.88546
KR8392100002,에스앤케이 KDR,2020-06-16,3244.52,16600.0,602,1953201.04,19.5320104
KR7101930006,인화정공,2023-12-31,2250.0,11640.0,859,1932750.0,19.3275
KR7017390006,서울도시가스,2020-09-30,15000.0,77600.0,128,1920000.0,19.2
KR7038390001,레드캡투어,2025-03-12,2000.0,10520.0,950,1900000.0,19.0
KR7015360001,인베니,2023-03-31,6000.0,32450.0,308,1848000.0,18.48
KR7023450000,동남합성,2020-09-30,6700.0,36950.0,270,1809000.0,18.09
KR7008110009,대동전자,2020-03-31,500.0,3070.0,3257,1628500.0,16.285
KR7129890000,앱코,2025-12-31,174.0,1070.0,9345,1626030.0,16.2603
KR7168490001,한국투자패러랠유전해외자원개발특별자산투자회사1호지분증권,2022-09-30,320.0,2065.0,4842,1549440.0,15.4944
KR7092130004,이크레더블,2021-12-31,2720.0,19700.0,507,1379040.0,13.7904
KR7334890001,이지스밸류플러스위탁관리부동산투자회사,2024-12-04,611.935,4600.0,2173,1329734.755,13.29734755
KR7440290005,에이치비인베스트먼트,2024-12-31,200.0,1580.0,6329,1265800.0,12.658
KR7152550000,한국투자ANKOR유전해외자원개발특별자산투자회사1호(지분증권),2022-03-05,190.0,1515.0,6600,1254000.0,12.54
KR7078520004,에이블씨엔씨,2023-10-04,1270.0,10260.0,974,1236980.0,12.3698
KR7092130004,이크레더블,2024-12-31,1590.0,12940.0,772,1227480.0,12.2748
KR7145270005,케이탑자기관리부동산투자회사,2022-12-31,108.0,885.0,11299,1220292.0,12.20292
KR7168490001,한국투자패러랠유전해외자원개발특별자산투자회사1호지분증권,2023-07-28,240.0,1968.0,5081,1219440.0,12.1944
KR7338100001,엔에이치프라임위탁관리부동산투자회사,2024-11-30,518.0,4255.0,2350,1217300.0,12.173
KR7023450000,동남합성,2020-03-31,3200.0,27000.0,370,1184000.0,11.84
KR7208350009,지란지교시큐리티,2023-12-31,500.0,4245.0,2355,1177500.0,11.775
KR7002960003,한국쉘석유,2023-12-31,25000.0,226000.0,44,1100000.0,11.0
KR7140910001,에이자기관리부동산투자회사,2020-12-31,750.0,6860.0,1457,1092750.0,10.9275
KR7009240003,한샘,2024-09-30,6200.0,57500.0,173,1072600.0,10.726
KR7208140004,정다운,2023-12-31,300.0,2800.0,3571,1071300.0,10.713
KR7340360007,다보링크,2023-12-31,250.0,2420.0,4132,1033000.0,10.33
KR7014440002,영보화학,2024-12-31,350.0,3560.0,2808,982800.0,9.828
KR7024110009,중소기업은행,2022-12-31,960.0,9820.0,1018,977280.0,9.7728
KR7092790005,넥스틸,2023-12-31,700.0,7160.0,1396,977200.0,9.772
KR7001750009,한양증권,2022-12-31,800.0,8210.0,1218,974400.0,9.744
KR7293940003,신한알파위탁관리부동산투자회사,2024-03-31,642.0,6630.0,1508,968136.0,9.68136
KR7065710006,서호전기,2024-12-31,2000.0,20650.0,484,968000.0,9.68
KR7072870009,메가스터디,2022-12-31,1050.0,10850.0,921,967050.0,9.6705
KR7138930003,BNK금융지주,2022-12-31,625.0,6500.0,1538,961250.0,9.6125
KR7285490009,노바텍,2024-12-31,1409.0,14660.0,682,960938.0,9.60938
KR7104700000,한국철강,2024-12-31,800.0,8380.0,1193,954400.0,9.544
KR7338100001,엔에이치프라임위탁관리부동산투자회사,2023-11-30,400.0,4195.0,2383,953200.0,9.532
KR7298020009,효성티앤씨,2021-12-31,50000.0,521000.0,19,950000.0,9.5
KR7082640004,동양생명보험,2021-12-31,620.0,6600.0,1515,939300.0,9.393
KR7208140004,정다운,2024-12-31,250.0,2665.0,3752,938000.0,9.38
KR7145270005,케이탑자기관리부동산투자회사,2023-12-31,95.0,1020.0,9803,931285.0,9.31285
KR7003540002,대신증권,2023-01-01,1200.0,12900.0,775,930000.0,9.3
KR7139130009,아이엠금융지주,2022-12-31,650.0,6990.0,1430,929500.0,9.295
KR7152550000,한국투자ANKOR유전해외자원개발특별자산투자회사1호(지분증권),2021-06-05,150.0,1615.0,6191,928650.0,9.2865
KR7003540002,대신증권,2020-12-31,1200.0,13000.0,769,922800.0,9.228
KR7138040001,메리츠금융지주,2020-12-31,900.0,9810.0,1019,917100.0,9.171
KR7168490001,한국투자패러랠유전해외자원개발특별자산투자회사1호지분증권,2020-03-31,175.0,1915.0,5221,913675.0,9.13675
KR7035810001,이지홀딩스,2024-12-31,250.0,2755.0,3629,907250.0,9.0725
KR7175330000,JB금융지주,2022-12-31,715.0,7890.0,1267,905905.0,9.05905
KR7001940006,KISCO홀딩스,2024-12-31,1800.0,19960.0,501,901800.0,9.018
KR7017800004,현대엘리베이터,2023-12-31,4000.0,44350.0,225,900000.0,9.0
KR7481850006,신한글로벌액티브위탁관리부동산투자회사,2025-08-31,127.0,1418.0,7052,895604.0,8.95604
