isinCd,stckIssuCmpyNm,dvdnBasDt,stckGenrDvdnAmt,stckGenrCashDvdnRt
KR7000050005,경방,19921231,700.0,0.0
KR7000050005,경방,20031231,250.0,5.0
KR7000050005,경방,20101231,750.0,15.0
KR7000050005,경방,20131231,250.0,5.0
KR7000050005,경방,20141231,500.0,10.0
KR7000050005,경방,20151231,1250.0,25.0
KR7000050005,경방,20161231,180.0,36.0
KR7000050005,경방,20171231,180.0,36.0
KR7000050005,경방,20181231,125.0,25.0
KR7000050005,경방,20191231,125.0,25.0
KR7000050005,경방,20201231,125.0,25.0
KR7000050005,경방,20211231,125.0,25.0
KR7000050005,경방,20221231,125.0,25.0
KR7000050005,경방,20231231,125.0,25.0
KR7000050005,경방,20241231,150.0,30.0
KR7000060004,메리츠화재해상보험,20030331,1000.0,20.0
KR7000060004,메리츠화재해상보험,20040331,1000.0,20.0
KR7000060004,메리츠화재해상보험,20050331,1000.0,20.0
KR7000060004,메리츠화재해상보험,20060331,100.0,20.0
KR7000060004,메리츠화재해상보험,20070331,100.0,20.0
KR7000060004,메리츠화재해상보험,20070930,100.0,20.0
KR7000060004,메리츠화재해상보험,20080331,125.0,25.0
KR7000060004,메리츠화재해상보험,20080930,50.0,10.0
KR7000060004,메리츠화재해상보험,20100331,300.0,60.0
KR7000060004,메리츠화재해상보험,20110331,450.0,90.0
KR7000060004,메리츠화재해상보험,20120331,550.0,110.0
KR7000060004,메리츠화재해상보험,20130331,300.0,60.0
KR7000060004,메리츠화재해상보험,20131231,320.0,64.0
KR7000060004,메리츠화재해상보험,20141231,380.0,76.0
KR7000060004,메리츠화재해상보험,20151231,570.0,114.0
KR7000060004,메리츠화재해상보험,20161231,830.0,166.0
KR7000060004,메리츠화재해상보험,20171231,1140.0,228.0
KR7000060004,메리츠화재해상보험,20181231,820.0,164.0
KR7000060004,메리츠화재해상보험,20191231,850.0,170.0
KR7000060004,메리츠화재해상보험,20201231,1280.0,256.0
KR7000060004,메리츠화재해상보험,20211231,620.0,124.0
KR7000070003,삼양홀딩스,19900630,650.0,0.0
KR7000070003,삼양홀딩스,19920630,850.0,0.0
KR7000070003,삼양홀딩스,19940630,600.0,0.0
KR7000070003,삼양홀딩스,19960630,100.0,0.0
KR7000070003,삼양홀딩스,20021231,500.0,10.0
KR7000070003,삼양홀딩스,20031231,1050.0,21.0
KR7000070003,삼양홀딩스,20041231,1150.0,23.0
KR7000070003,삼양홀딩스,20051231,1150.0,23.0
KR7000070003,삼양홀딩스,20061231,1050.0,21.0
KR7000070003,삼양홀딩스,20071231,250.0,5.0
KR7000070003,삼양홀딩스,20081231,500.0,10.0
KR7000070003,삼양홀딩스,20091231,1500.0,30.0
KR7000070003,삼양홀딩스,20101231,1750.0,35.0
KR7000070003,삼양홀딩스,20111231,2000.0,40.0
KR7000070003,삼양홀딩스,20121231,1500.0,30.0
KR7000070003,삼양홀딩스,20131231,1250.0,25.0
KR7000070003,삼양홀딩스,20141231,1500.0,30.0
KR7000070003,삼양홀딩스,20151231,1500.0,30.0
KR7000070003,삼양홀딩스,20161231,2000.0,40.0
KR7000070003,삼양홀딩스,20171231,2000.0,40.0
KR7000070003,삼양홀딩스,20181231,2000.0,40.0
KR7000070003,삼양홀딩스,20191231,2000.0,40.0
KR7000070003,삼양홀딩스,20201231,2250.0,45.0
KR7000070003,삼양홀딩스,20211231,3000.0,60.0
KR7000070003,삼양홀딩스,20221231,3500.0,70.0
KR7000070003,삼양홀딩스,20231231,3500.0,70.0
KR7000070003,삼양홀딩스,20241231,3500.0,70.0
KR7000080002,하이트진로,20091231,2000.0,40.0
KR7000080002,하이트진로,20101231,1500.0,30.0
KR7000080002,하이트진로,20111231,1250.0,25.0
KR7000080002,하이트진로,20121231,1250.0,25.0
KR7000080002,하이트진로,20131231,1100.0,22.0
KR7000080002,하이트진로,20141231,1000.0,20.0
KR7000080002,하이트진로,20151231,1000.0,20.0
KR7000080002,하이트진로,20161231,900.0,18.0
KR7000080002,하이트진로,20171231,800.0,16.0
KR7000080002,하이트진로,20181231,800.0,16.0
KR7000080002,하이트진로,20191231,700.0,14.0
HK0000214814,헝셩그룹,20161231,52.0,0.0
HK0000214814,헝셩그룹,20171231,30.58,0.0
HK0000449303,윙입푸드홀딩스,20181231,1851481913.0,0.0
HK0000449303,윙입푸드홀딩스,20191231,10.593,0.0
HK0000449303,윙입푸드홀딩스,20201231,10.217,0.0
KR7000010009,신한은행,19951231,200.0,0.0
KR7000010009,신한은행,20101231,301.0,6.02
KR7000010009,신한은행,20111231,246.0,4.92
KR7000010009,신한은행,20131231,227.04,4.5408
KR7000020008,동화약품,20030331,500.0,10.0
KR7000020008,동화약품,20040331,500.0,10.0
KR7000020008,동화약품,20050331,500.0,10.0
KR7000020008,동화약품,20060331,500.0,10.0
KR7000020008,동화약품,20070331,600.0,12.0
KR7000020008,동화약품,20080331,700.0,14.0
KR7000020008,동화약품,20090331,750.0,15.0
