ISIN코드,기업명,배당기준일,기준종가일,종가,1주당배당금,공시배당률,투자금액,시가배당률(%),매수주식수,총배당금,투자금대비배당률(%)
KR7000050005,경방,2020-12-31,2020-12-30,12400.0,125.0,25.0,10000000.0,1.0080645161290323,806,100750.0,1.0075
KR7000050005,경방,2021-12-31,2021-12-30,13750.0,125.0,25.0,10000000.0,0.9090909090909091,727,90875.0,0.9087500000000001
KR7000050005,경방,2022-12-31,2022-12-29,10800.0,125.0,25.0,10000000.0,1.1574074074074074,925,115625.0,1.15625
KR7000050005,경방,2023-12-31,2023-12-28,8840.0,125.0,25.0,10000000.0,1.414027149321267,1131,141375.0,1.41375
KR7000050005,경방,2024-12-31,2024-12-30,6350.0,150.0,30.0,10000000.0,2.3622047244094486,1574,236100.0,2.3609999999999998
KR7000060004,메리츠화재해상보험,2020-12-31,2020-12-30,14600.0,1280.0,256.0,10000000.0,8.767123287671232,684,875520.0,8.7552
KR7000060004,메리츠화재해상보험,2021-12-31,2021-12-30,33550.0,620.0,124.0,10000000.0,1.8479880774962745,298,184760.0,1.8476
KR7000070003,삼양홀딩스,2020-12-31,2020-12-30,74500.0,2250.0,45.0,10000000.0,3.0201342281879198,134,301500.0,3.015
KR7000070003,삼양홀딩스,2021-12-31,2021-12-30,98200.0,3000.0,60.0,10000000.0,3.054989816700611,101,303000.0,3.0300000000000002
KR7000070003,삼양홀딩스,2022-12-31,2022-12-29,68700.0,3500.0,70.0,10000000.0,5.094614264919942,145,507500.0,5.075
KR7000070003,삼양홀딩스,2023-12-31,2023-12-28,69000.0,3500.0,70.0,10000000.0,5.072463768115942,144,504000.0,5.04
KR7000070003,삼양홀딩스,2024-12-31,2024-12-30,65500.0,3500.0,70.0,10000000.0,5.343511450381679,152,532000.0,5.319999999999999
KR7000080002,하이트진로,2020-12-31,2020-12-30,31850.0,750.0,15.0,10000000.0,2.3547880690737837,313,234750.0,2.3475
KR7000080002,하이트진로,2021-12-31,2021-12-30,30150.0,800.0,16.0,10000000.0,2.6533996683250414,331,264800.0,2.648
KR7000080002,하이트진로,2022-12-31,2022-12-29,25550.0,950.0,19.0,10000000.0,3.7181996086105675,391,371450.0,3.7144999999999997
KR7000080002,하이트진로,2023-12-31,2023-12-28,22500.0,950.0,19.0,10000000.0,4.222222222222222,444,421800.0,4.218
KR7000080002,하이트진로,2024-12-31,2024-12-30,19520.0,700.0,14.0,10000000.0,3.5860655737704916,512,358400.0,3.5839999999999996
HK0000449303,윙입푸드홀딩스,2020-12-31,2020-12-30,1430.0,10.217,0.0,10000000.0,0.7144755244755244,6993,71447.481,0.71447481
KR7000020008,동화약품,2020-12-31,2020-12-30,19650.0,180.0,18.0,10000000.0,0.9160305343511451,508,91440.0,0.9143999999999999
KR7000020008,동화약품,2021-12-31,2021-12-30,14600.0,180.0,18.0,10000000.0,1.2328767123287672,684,123120.0,1.2312
KR7000020008,동화약품,2022-12-31,2022-12-29,9260.0,180.0,18.0,10000000.0,1.9438444924406046,1079,194220.0,1.9422
KR7000020008,동화약품,2023-12-31,2023-12-28,10270.0,180.0,18.0,10000000.0,1.7526777020447908,973,175140.0,1.7513999999999998
KR7000020008,동화약품,2024-12-31,2024-12-30,6300.0,180.0,18.0,10000000.0,2.857142857142857,1587,285660.0,2.8566000000000003
KR7000100008,유한양행,2020-12-31,2020-12-30,75100.0,400.0,40.0,10000000.0,0.5326231691078562,133,53200.0,0.532
KR7000100008,유한양행,2021-12-31,2021-12-30,62100.0,400.0,40.0,10000000.0,0.644122383252818,161,64400.0,0.644
KR7000100008,유한양행,2022-12-31,2022-12-29,57200.0,400.0,40.0,10000000.0,0.6993006993006993,174,69600.0,0.696
